Folder Name,View,Left_Elbow_Angle_mean,Left_Elbow_Angle_std,Left_Shoulder_Angle_mean,Left_Shoulder_Angle_std,Left_Knee_Angle_mean,Left_Knee_Angle_std,Left_Hip_Angle_mean,Left_Hip_Angle_std,Left_Ankle_Angle_mean,Left_Ankle_Angle_std,Right_Elbow_Angle_mean,Right_Elbow_Angle_std,Right_Shoulder_Angle_mean,Right_Shoulder_Angle_std,Right_Knee_Angle_mean,Right_Knee_Angle_std,Right_Hip_Angle_mean,Right_Hip_Angle_std,Right_Ankle_Angle_mean,Right_Ankle_Angle_std
adho mukha vriksasana,Arm-Specific (Mixed),139.04693239017752,0.0,21.002193350644223,0.0,172.23676021504104,0.0,76.14805056295239,0.0,108.50095477823346,0.0,152.45821081478965,0.0,140.60008765038265,0.0,160.82998739692962,0.0,125.54073421804593,0.0,75.98838140736032,0.0
adho mukha vriksasana,Arm-Specific (Partial Extension),169.9441224705523,0.0,40.84065219411241,0.0,172.23676021504104,0.0,137.39024501651167,0.0,108.50095477823346,0.0,152.45821081478965,0.0,140.60008765038265,0.0,160.82998739692962,0.0,125.54073421804593,0.0,75.98838140736032,0.0
adho mukha vriksasana,Back View (Full),135.12524555622315,12.177029083147113,129.32040946266076,12.564134471960035,172.18447386669,4.95799781604878,138.40161801094914,20.004914767750282,109.5997316428892,23.619632123533943,146.79581200727662,26.74696849765347,139.89642287548642,15.914381546827714,136.36259475740593,54.48737552546674,127.56075152643676,28.734000331547985,68.31180708774451,36.08110850852861
adho mukha vriksasana,Rare or Mixed View,136.46273832651892,0.0,140.7123670368829,0.0,106.052995123413,0.0,155.8985533751161,0.0,124.65185645833222,0.0,150.91988844847805,0.0,142.0621794348274,0.0,166.40391891004887,0.0,147.94173206203808,0.0,123.86085790659467,0.0
adho mukha vriksasana,Side View (Perfect - Near Full),134.5358720417055,38.771652358659935,149.13485987073642,19.890898348210364,132.39838957968132,52.15776520569844,117.31585062301684,45.165683442211986,90.16397323215203,32.74994123398871,157.26366951539885,13.67907481616694,152.73795239619636,18.23090214490238,137.16736773880046,58.363380127373944,115.09270491264037,12.39524892551732,93.8134458606777,55.013500758856665
adho mukha vriksasana,Side View (Perfect - Partial),149.75522267338766,15.14380934834382,168.25310138107602,12.93515663448488,174.4077699371869,3.0702713931025314,116.65562315498592,29.32318344724739,60.899627067198445,67.31844323591196,152.45821081478965,0.0,140.60008765038265,0.0,158.14741136118454,3.7937354118477633,135.30039443331177,13.802243840582065,120.1136636783708,62.4025726312041
ananda balasana,Arm-Specific (Extended Side View),168.24793692667325,0.45597738888619627,51.16604850159568,26.596876398773965,67.92284961416831,39.250596424237905,33.3263126447368,6.403619776916864,74.70455706922328,22.36304258014239,167.33871220910277,3.023959401257214,59.13945414248376,4.849211257463521,94.71982764009663,2.4150253135500703,28.070363945498617,10.549311387384234,73.87241796134214,7.914142893203421
ananda balasana,Arm-Specific (Mixed),154.02671398931764,0.0,12.975513180732218,0.0,92.34379385702876,0.0,53.916328704845085,0.0,111.50224092072276,0.0,164.45884855656746,0.0,62.07295556174218,0.0,93.57105185789489,0.0,21.455251032320035,0.0,77.75625095774937,0.0
ananda balasana,Arm-Specific (Partial Extension),172.38196525043807,3.5385061196041367,50.29052471109763,6.549805659956918,89.32521059528483,8.920425631450575,56.11332543570817,76.76787360442083,84.4254660048669,9.456705213171341,168.44710003421235,6.362544832425243,59.93403283707224,25.701246746109593,121.8055083246129,30.84907988141684,69.83838510211484,53.03485586901573,79.52745672235562,6.915775795846376
ananda balasana,Back View (Full),167.72008926371527,0.6989252794169043,62.40460018559064,16.465127547638048,91.30205535156551,6.620530365739428,22.420828469031385,2.9149790509259854,84.99101755893197,2.667332360803789,166.12961953721,1.908578951664995,68.91763949433079,10.502004741009268,98.82372510943915,11.74533445404781,23.452705362561268,5.672525460488225,80.10471800058576,3.2222779835922637
ananda balasana,Front View (Perfect),157.38416356466462,0.0,72.26858687464214,0.0,74.24419126165654,0.0,37.87341577042386,0.0,83.83577708347912,0.0,147.20815745796293,0.0,50.723404099231,0.0,99.08451579061096,0.0,65.7875037994511,0.0,77.75625095774937,0.0
ananda balasana,Oblique View (Mild),175.63640990894325,3.7300655856522087,60.3693516868548,18.41156081815142,79.68713176106654,17.987123807800995,14.160622359701884,9.03141846265468,75.3506063763089,21.851887010022917,116.40572321297186,72.38255577958554,37.35054256717273,36.35133602509908,54.26329680957404,48.03828430528068,8.580460889984321,6.791643484757618,49.74405101825571,43.76488477283458
ananda balasana,Oblique View (Moderate),149.93567160301498,20.96900754330946,49.11431237677632,3.728866522958543,96.03418392098712,15.385839516801177,24.30512572013245,14.693674703311856,83.3399138792457,0.9164727684356239,161.15258677052515,4.584637848482946,61.91233959967156,6.860174506455825,92.90385095188445,1.3344018120208636,17.883079333120314,4.4354435977505515,78.86218548336906,2.211869051239374
ananda balasana,Oblique View (Strong),168.03265815090913,0.0,50.55764188893402,0.0,88.34126416258653,0.0,23.72444673120305,0.0,83.79815026346351,0.0,111.53446839256026,0.0,15.727137003567885,0.0,93.57105185789489,0.0,21.455251032320035,0.0,77.75625095774937,0.0
ananda balasana,Rare or Mixed View,163.82685658355626,10.389338315890454,29.119516202511548,22.00273059183566,57.47393832805863,43.7131419074143,17.931403286271866,10.033845577074647,99.34702774089213,30.82825976467403,168.6276699590051,7.220610476702536,48.70202057067966,29.937226308979504,71.86412599161095,34.40895550109356,23.27956673610613,3.3903339593579163,72.07129665923536,34.12927685230696
